"mat_females_1" "mat_females_2" "mat_females_3" "mat_males_1" "mat_males_2" "pE_females_1" "pE_females_2" "pE_females_3" "logFC" "logCPM" "PValue" "FDR" "tw_dis" "chr" "start" "end" "strand" "de" "gene"
"scaffold_1_120715_120736_+" 7.75995193244494 4.74445781007938 8.88417311481052 8.61021255939807 14.0992268839371 5.54248135649745 5.39849957267845 10.6403257567784 -0.6501926056875 3.5474602581245 0.23420317432029 0.419432100616165 0.0299302264926319 "scaffold_1" 120715 120736 "+" 0 "JGI_V11_189791"
"scaffold_1_157386_157461_+" 35.1502365071726 31.8969541484903 30.8584895912461 17.3955721764274 13.2536396644877 19.9209793065561 21.411166665884 18.1683373540318 0.36943856202218 4.88668543737904 0.350276782339634 0.556306486950381 0.0191461566845284 "scaffold_1" 157386 157461 "+" 0 "JGI_V11_219913"
"scaffold_1_162014_162063_+" 7.95169016819962 8.03420279501791 8.14956435918423 1.38777878078145e-17 1.38777878078145e-17 7.4290730698792 5.30007717754637 7.75082721530443 5.72989912005968 3.13712240822697 0.000132744428808611 0.000827598483255666 0.0256009977156645 "scaffold_1" 162014 162063 "+" 1 "JGI_V11_299986"
"scaffold_1_163697_163750_+" 30.1131459973453 31.8035030288293 31.2346264120007 34.2806564667382 27.9733795148417 44.1285446335838 52.5249044185647 47.9252348484849 0.628854866892534 5.49967151518773 0.0268225325296773 0.0788265075756721 0.0170842067972813 "scaffold_1" 163697 163750 "+" 0 "JGI_V11_299784"
"scaffold_1_168298_168301_+" 12.3212658859661 10.3614510371889 10.797953804051 5.76155386903713 0.0282378724989987 12.4183600477887 7.10498349250839 0.0852198657761982 1.13700793624872 3.44966255155145 0.210143611958039 0.387942784729642 0.0668629794850377 "scaffold_1" 168298 168301 "+" 0 "JGI_V11_231974"
"scaffold_1_224681_224753_+" 36.1457124459074 68.47096072544 63.7664627705861 76.6864576158394 184.967520194394 60.1384581180612 88.0773646253382 42.3983423706208 -1.04071911940937 6.51130779026602 0.0132260270533196 0.044056471535477 0.0924249420684373 "scaffold_1" 224681 224753 "+" 0 "JGI_V11_299786"
"scaffold_1_226515_226518_+" 29.8108433468575 39.6234616413191 25.899453432734 37.9947776257803 36.2258099847008 26.2580194341487 17.2980259176541 10.3218332239866 -1.04167886075973 5.11005453555658 0.00419802686552948 0.0168766314929675 0.0332907331971583 "scaffold_1" 226515 226518 "+" 0 "JGI_V11_299787"
"scaffold_1_230668_230676_+" 17.1028666593296 22.6343453016012 14.2467481691663 23.1784255638178 14.5446000060814 25.6484369349344 11.7557863499267 11.2044712530393 -0.21910662487181 4.49043432326775 0.632893920691276 0.817240526806907 0.0422243635372238 "scaffold_1" 230668 230676 "+" 0 "JGI_V11_231986"
"scaffold_1_234773_234777_+" 9.32699339004229 9.67980529697141 6.63856964110468 11.0820029349467 10.4701684369679 10.3859881625874 6.14376577602926 0.0740446855690222 -0.937711013086568 3.52482258055715 0.0940212990107609 0.212712483409593 0.0377518761827918 "scaffold_1" 234773 234777 "+" 0 "JGI_V11_299990"
"scaffold_1_338755_338789_+" 26.9113448656019 37.4637394191239 32.2620476196869 1.38777878078145e-17 1.38777878078145e-17 9.29966335263033 9.13747117853099 12.1668438068501 6.30179194437286 4.40006256769064 2.34789052590695e-06 2.42973264484863e-05 0.0239634012101414 "scaffold_1" 338755 338789 "+" 1 "JGI_V11_309510"
"scaffold_1_342988_343020_+" 23.2568999162246 23.9102415175377 19.593745440691 21.2037871947457 13.6196780721545 24.6767056288243 20.8555189199862 20.5682589577072 0.336154920139961 4.72394799139754 0.39228469774202 0.599632414220731 0.0215411350977181 "scaffold_1" 342988 343020 "+" 0 "JGI_V11_299792"
"scaffold_1_387210_387364_+" 47.7802125671042 50.33008457144 55.8348993731061 26.6339309668623 22.2179596922421 25.8665152344054 23.0723197861671 27.351332680624 0.0567472530507365 5.41938307772398 0.945418515720227 1 0.0175611439225246 "scaffold_1" 387210 387364 "+" 0 "JGI_V11_219940"
"scaffold_1_402522_402533_+" 10.9571153145754 8.72960110542076 11.2609715222484 11.2220161956891 11.9540523403351 10.8945407780929 12.2904051814217 11.2954562018604 -0.0111543370309974 3.90692439308481 1 1 0.0224340722116867 "scaffold_1" 402522 402533 "+" 0 "JGI_V11_219945"
"scaffold_1_409256_409263_+" 23.4710840674277 18.9651250273401 24.8446484921475 15.0241156470426 11.6398809263562 6.09978333029199 8.44185063700574 6.85791757865526 -0.889408150469722 4.25988264864168 0.0744751678391087 0.177191736940571 0.0228259537208213 "scaffold_1" 409256 409263 "+" 0 "JGI_V11_299604"
"scaffold_1_424111_424137_+" 7.99837634162272 10.0482017216011 8.91715721559666 1.38777878078145e-17 1.38777878078145e-17 6.60735819010155 9.1795138332125 0.0713767921224786 5.38263441072758 3.10697352419009 0.00151740800994377 0.00708471607760541 0.0374323806732364 "scaffold_1" 424111 424137 "+" 1 "JGI_V11_299637"
"scaffold_1_442734_442760_+" 32.7291391793262 31.3091342544522 27.5763446293128 32.7012377901301 27.3937879664872 35.3527915830599 31.6196086032132 34.9559253029943 0.175729005291117 5.27460886544859 0.592089263612509 0.782917149898219 0.0176514847253235 "scaffold_1" 442734 442760 "+" 0 "JGI_V11_219955"
"scaffold_1_517723_517732_+" 12.772176070111 9.28512468150637 18.1358460885281 30.4093106489306 47.5128437034133 193.692200128145 178.127102028395 216.552286089109 2.32805577356274 6.68203262820309 3.55120621267897e-17 2.41079552424733e-15 0.0251222491584661 "scaffold_1" 517723 517732 "+" 1 "JGI_V11_309533"
"scaffold_1_560841_560913_+" 3889.5659533329 3349.13448598449 3478.97015580295 5479.71763149259 5119.10954890363 3425.71334287886 2970.2437121898 5055.65223226246 -0.47331742184613 12.2018798447189 0.0456878467861461 0.122174197432596 0.0329191206463656 "scaffold_1" 560841 560913 "+" 0 "JGI_V11_300012"
